Marca temporal,1. Selecciona tu sexo ,2. Disfrutas reparar o construir cosas con tus manos ,3. Prefieres actividades físicas o al aire libre antes que permanecer en una oficina ,4. Te interesa entender cómo funcionan las máquinas o las herramientas ,"5. Antes de tomar una decisión, prefieres analizar la información ",6. Disfrutas resolver problemas complejos o rompecabezas ,7. Te gusta investigar temas científicos o técnicos con profundidad ,"8. Prefieres expresarte mediante el arte, la música o la escritura ","9. Cuando surge un problema, buscas soluciones creativas o poco convencionales ",10. Disfrutas diseñar o crear cosas nuevas ,11. Te gusta ayudar a otras personas a resolver sus problemas ,12. Te resulta fácil escuchar y comprender las emociones de los demás ,13. Prefieres trabajar en equipo antes que trabajar solo ,14. Te gusta convencer a otras personas y dirigir proyectos ,15. Estás dispuesto(a) a asumir riesgos para alcanzar una meta importante ,16. Te gustaría iniciar tu propio negocio o proyecto en el futuro ,17. Prefieres seguir procedimientos y mantener todo organizado ,18. Prefieres tareas con instrucciones claras antes que actividades ambiguas ,19. Te gusta llevar un registro detallado de tus actividades o gastos 
23/7/2026 14:40:33,Mujer,"Sí, me identifica mucho",Depende de la situación,Me interesa un poco,Algunas veces,De vez en cuando,"Sí, frecuentemente","Sí, es una de mis formas favoritas",Casi siempre,Mucho,Siempre que puedo,"Sí, con facilidad","Sí, definitivamente","Sí, disfruto liderar",Solo si el riesgo es razonable,"Sí, definitivamente",Prefiero trabajar de manera flexible,Depende de la situación,Casi nunca
23/7/2026 21:59:20,Hombre,A veces me identifica,"Sí, lo prefiero",No me interesa,Siempre,De vez en cuando,No suele gustarme,"Sí, es una de mis formas favoritas",Algunas veces,Mucho,Prefiero no involucrarme,Depende de la persona,"Sí, definitivamente",Solo cuando es necesario,Prefiero evitar riesgos,"Sí, definitivamente",Prefiero trabajar de manera flexible,Depende de la situación,"Sí, de manera constante"
23/7/2026 22:01:56,Hombre,"Sí, me identifica mucho","Sí, lo prefiero",Me interesa mucho,Algunas veces,Mucho,"Sí, frecuentemente",En algunas ocasiones,Algunas veces,Algunas veces,Solo en algunas ocasiones,Depende de la persona,Depende de la actividad,Solo cuando es necesario,"Sí, sin problema","Sí, definitivamente","Sí, siempre","Sí, me siento más cómodo(a)","Sí, de manera constante"
23/7/2026 22:22:49,Mujer,No me identifica,"Sí, lo prefiero",Me interesa mucho,Siempre,De vez en cuando,Solo cuando el tema me interesa,"Sí, es una de mis formas favoritas",Casi siempre,Mucho,Siempre que puedo,"Sí, con facilidad",Depende de la actividad,Solo cuando es necesario,"Sí, sin problema","Sí, definitivamente","Sí, siempre","Sí, me siento más cómodo(a)","Sí, de manera constante"
24/7/2026 8:56:44,Hombre,No me identifica,Depende de la situación,Me interesa un poco,Siempre,De vez en cuando,Solo cuando el tema me interesa,No es algo que disfrute,Algunas veces,Algunas veces,Solo en algunas ocasiones,"Sí, con facilidad",Prefiero trabajar solo,"Sí, disfruto liderar",Solo si el riesgo es razonable,"Sí, definitivamente",Solo cuando es necesario,"Sí, me siento más cómodo(a)",Solo en algunas ocasiones
24/7/2026 15:43:44,Hombre,A veces me identifica,"Sí, lo prefiero",Me interesa un poco,Casi nunca,Mucho,"Sí, frecuentemente",No es algo que disfrute,Prefiero soluciones tradicionales,Algunas veces,Prefiero no involucrarme,"Sí, con facilidad","Sí, definitivamente",Prefiero no liderar,Prefiero evitar riesgos,No está en mis planes,"Sí, siempre",Depende de la situación,Solo en algunas ocasiones
24/7/2026 15:44:20,Hombre,A veces me identifica,"No, prefiero actividades de oficina",No me interesa,Algunas veces,De vez en cuando,"Sí, frecuentemente",En algunas ocasiones,Casi siempre,Algunas veces,Solo en algunas ocasiones,Depende de la persona,Depende de la actividad,"Sí, disfruto liderar",Prefiero evitar riesgos,No está en mis planes,Solo cuando es necesario,"Sí, me siento más cómodo(a)","Sí, de manera constante"
24/7/2026 15:45:00,Mujer,"Sí, me identifica mucho",Depende de la situación,Me interesa un poco,Algunas veces,Mucho,Solo cuando el tema me interesa,En algunas ocasiones,Algunas veces,Algunas veces,Siempre que puedo,Me cuesta trabajo,Prefiero trabajar solo,Prefiero no liderar,Prefiero evitar riesgos,No está en mis planes,Prefiero trabajar de manera flexible,Prefiero tener libertad para decidir,Casi nunca
24/7/2026 15:45:40,Mujer,No me identifica,Depende de la situación,Me interesa un poco,Casi nunca,Poco o nada,No suele gustarme,No es algo que disfrute,Prefiero soluciones tradicionales,Poco o nada,Solo en algunas ocasiones,Me cuesta trabajo,Prefiero trabajar solo,Prefiero no liderar,Prefiero evitar riesgos,Tal vez,Prefiero trabajar de manera flexible,Prefiero tener libertad para decidir,Casi nunca
24/7/2026 15:46:28,Mujer,No me identifica,Depende de la situación,Me interesa un poco,Algunas veces,Mucho,Solo cuando el tema me interesa,En algunas ocasiones,Casi siempre,Algunas veces,Solo en algunas ocasiones,Depende de la persona,Depende de la actividad,"Sí, disfruto liderar","Sí, sin problema",Tal vez,Solo cuando es necesario,"Sí, me siento más cómodo(a)","Sí, de manera constante"
24/7/2026 15:47:10,Hombre,"Sí, me identifica mucho",Depende de la situación,Me interesa mucho,Algunas veces,Mucho,Solo cuando el tema me interesa,En algunas ocasiones,Algunas veces,Algunas veces,Siempre que puedo,Depende de la persona,Depende de la actividad,Solo cuando es necesario,Solo si el riesgo es razonable,"Sí, definitivamente",Solo cuando es necesario,"Sí, me siento más cómodo(a)",Solo en algunas ocasiones
24/7/2026 15:47:57,Mujer,A veces me identifica,Depende de la situación,No me interesa,Casi nunca,Mucho,"Sí, frecuentemente",En algunas ocasiones,Algunas veces,Algunas veces,Siempre que puedo,Me cuesta trabajo,"Sí, definitivamente",Solo cuando es necesario,"Sí, sin problema","Sí, definitivamente",Solo cuando es necesario,Depende de la situación,Casi nunca
24/7/2026 15:48:44,Hombre,A veces me identifica,Depende de la situación,Me interesa mucho,Algunas veces,De vez en cuando,Solo cuando el tema me interesa,"Sí, es una de mis formas favoritas",Algunas veces,Mucho,Solo en algunas ocasiones,Depende de la persona,"Sí, definitivamente","Sí, disfruto liderar",Solo si el riesgo es razonable,Tal vez,Solo cuando es necesario,"Sí, me siento más cómodo(a)","Sí, de manera constante"
24/7/2026 15:49:13,Hombre,"Sí, me identifica mucho",Depende de la situación,Me interesa un poco,Siempre,Mucho,Solo cuando el tema me interesa,En algunas ocasiones,Algunas veces,Algunas veces,Siempre que puedo,Depende de la persona,"Sí, definitivamente",Solo cuando es necesario,Solo si el riesgo es razonable,Tal vez,"Sí, siempre","Sí, me siento más cómodo(a)","Sí, de manera constante"
24/7/2026 15:49:50,Hombre,"Sí, me identifica mucho","Sí, lo prefiero",Me interesa un poco,Algunas veces,De vez en cuando,Solo cuando el tema me interesa,En algunas ocasiones,Algunas veces,Algunas veces,Solo en algunas ocasiones,Depende de la persona,Depende de la actividad,Solo cuando es necesario,Solo si el riesgo es razonable,Tal vez,Solo cuando es necesario,Depende de la situación,Solo en algunas ocasiones
24/7/2026 15:50:21,Mujer,A veces me identifica,"No, prefiero actividades de oficina",No me interesa,Algunas veces,Poco o nada,Solo cuando el tema me interesa,En algunas ocasiones,Algunas veces,Poco o nada,Solo en algunas ocasiones,Depende de la persona,Depende de la actividad,Prefiero no liderar,Prefiero evitar riesgos,Tal vez,Prefiero trabajar de manera flexible,Depende de la situación,Casi nunca
24/7/2026 15:50:55,Mujer,A veces me identifica,"No, prefiero actividades de oficina",Me interesa un poco,Casi nunca,De vez en cuando,Solo cuando el tema me interesa,"Sí, es una de mis formas favoritas",Casi siempre,Algunas veces,Prefiero no involucrarme,"Sí, con facilidad","Sí, definitivamente","Sí, disfruto liderar","Sí, sin problema","Sí, definitivamente","Sí, siempre","Sí, me siento más cómodo(a)",Solo en algunas ocasiones
24/7/2026 15:51:31,Hombre,A veces me identifica,Depende de la situación,No me interesa,Algunas veces,Poco o nada,Solo cuando el tema me interesa,No es algo que disfrute,Algunas veces,Poco o nada,Prefiero no involucrarme,Depende de la persona,Prefiero trabajar solo,Solo cuando es necesario,Solo si el riesgo es razonable,No está en mis planes,Solo cuando es necesario,Prefiero tener libertad para decidir,"Sí, de manera constante"
24/7/2026 15:52:00,Hombre,No me identifica,"No, prefiero actividades de oficina",No me interesa,Algunas veces,De vez en cuando,Solo cuando el tema me interesa,En algunas ocasiones,Algunas veces,Algunas veces,Solo en algunas ocasiones,Me cuesta trabajo,Depende de la actividad,Solo cuando es necesario,Solo si el riesgo es razonable,Tal vez,Prefiero trabajar de manera flexible,Prefiero tener libertad para decidir,Solo en algunas ocasiones
24/7/2026 15:52:35,Hombre,No me identifica,Depende de la situación,No me interesa,Algunas veces,De vez en cuando,Solo cuando el tema me interesa,En algunas ocasiones,Prefiero soluciones tradicionales,Algunas veces,Solo en algunas ocasiones,Me cuesta trabajo,Depende de la actividad,Solo cuando es necesario,Solo si el riesgo es razonable,No está en mis planes,Prefiero trabajar de manera flexible,Depende de la situación,Casi nunca
24/7/2026 15:53:09,Hombre,"Sí, me identifica mucho",Depende de la situación,Me interesa un poco,Siempre,De vez en cuando,"Sí, frecuentemente",En algunas ocasiones,Casi siempre,Algunas veces,Siempre que puedo,Depende de la persona,Depende de la actividad,"Sí, disfruto liderar",Solo si el riesgo es razonable,"Sí, definitivamente","Sí, siempre","Sí, me siento más cómodo(a)","Sí, de manera constante"
25/7/2026 15:30:11,Hombre,"Sí, me identifica mucho",Depende de la situación,Me interesa un poco,Algunas veces,De vez en cuando,"Sí, frecuentemente",En algunas ocasiones,Casi siempre,Algunas veces,Siempre que puedo,"Sí, con facilidad",Depende de la actividad,"Sí, disfruto liderar",Solo si el riesgo es razonable,No está en mis planes,Solo cuando es necesario,Depende de la situación,Casi nunca
25/7/2026 15:30:40,Mujer,A veces me identifica,"No, prefiero actividades de oficina",No me interesa,Algunas veces,De vez en cuando,No suele gustarme,En algunas ocasiones,Algunas veces,Algunas veces,Solo en algunas ocasiones,Depende de la persona,Depende de la actividad,Solo cuando es necesario,Solo si el riesgo es razonable,Tal vez,Solo cuando es necesario,Depende de la situación,Casi nunca
25/7/2026 15:31:06,Hombre,A veces me identifica,"Sí, lo prefiero",Me interesa un poco,Casi nunca,De vez en cuando,Solo cuando el tema me interesa,No es algo que disfrute,Casi siempre,Algunas veces,Solo en algunas ocasiones,Depende de la persona,"Sí, definitivamente",Solo cuando es necesario,Solo si el riesgo es razonable,"Sí, definitivamente",Solo cuando es necesario,Depende de la situación,"Sí, de manera constante"
25/7/2026 15:31:30,Hombre,No me identifica,"No, prefiero actividades de oficina",No me interesa,Algunas veces,De vez en cuando,No suele gustarme,No es algo que disfrute,Prefiero soluciones tradicionales,Algunas veces,Solo en algunas ocasiones,Depende de la persona,Depende de la actividad,Solo cuando es necesario,Prefiero evitar riesgos,No está en mis planes,Prefiero trabajar de manera flexible,Prefiero tener libertad para decidir,Casi nunca
25/7/2026 15:31:57,Mujer,No me identifica,Depende de la situación,Me interesa un poco,Casi nunca,De vez en cuando,"Sí, frecuentemente",En algunas ocasiones,Casi siempre,Algunas veces,Solo en algunas ocasiones,Depende de la persona,Prefiero trabajar solo,Solo cuando es necesario,Prefiero evitar riesgos,No está en mis planes,Prefiero trabajar de manera flexible,Depende de la situación,Solo en algunas ocasiones
25/7/2026 15:32:37,Hombre,A veces me identifica,"Sí, lo prefiero",Me interesa un poco,Siempre,Mucho,Solo cuando el tema me interesa,"Sí, es una de mis formas favoritas",Casi siempre,Mucho,Siempre que puedo,"Sí, con facilidad","Sí, definitivamente","Sí, disfruto liderar","Sí, sin problema","Sí, definitivamente","Sí, siempre","Sí, me siento más cómodo(a)","Sí, de manera constante"
25/7/2026 15:32:59,Hombre,"Sí, me identifica mucho","Sí, lo prefiero",Me interesa mucho,Siempre,Mucho,"Sí, frecuentemente","Sí, es una de mis formas favoritas",Casi siempre,Mucho,Siempre que puedo,"Sí, con facilidad","Sí, definitivamente","Sí, disfruto liderar","Sí, sin problema","Sí, definitivamente","Sí, siempre","Sí, me siento más cómodo(a)","Sí, de manera constante"
25/7/2026 15:33:38,Mujer,A veces me identifica,"Sí, lo prefiero",Me interesa mucho,Siempre,Mucho,Solo cuando el tema me interesa,En algunas ocasiones,Casi siempre,Mucho,Solo en algunas ocasiones,"Sí, con facilidad","Sí, definitivamente","Sí, disfruto liderar","Sí, sin problema","Sí, definitivamente","Sí, siempre","Sí, me siento más cómodo(a)","Sí, de manera constante"
25/7/2026 15:36:09,Mujer,"Sí, me identifica mucho","Sí, lo prefiero",Me interesa mucho,Algunas veces,Mucho,No suele gustarme,"Sí, es una de mis formas favoritas",Casi siempre,Mucho,Siempre que puedo,Depende de la persona,Depende de la actividad,Solo cuando es necesario,Solo si el riesgo es razonable,"Sí, definitivamente","Sí, siempre","Sí, me siento más cómodo(a)","Sí, de manera constante"
25/7/2026 15:37:05,Mujer,A veces me identifica,"Sí, lo prefiero",Me interesa mucho,Siempre,Poco o nada,Solo cuando el tema me interesa,En algunas ocasiones,Prefiero soluciones tradicionales,Poco o nada,Siempre que puedo,Depende de la persona,Depende de la actividad,Prefiero no liderar,Prefiero evitar riesgos,No está en mis planes,Solo cuando es necesario,Prefiero tener libertad para decidir,Casi nunca
25/7/2026 15:37:32,Mujer,A veces me identifica,"Sí, lo prefiero",Me interesa mucho,Algunas veces,De vez en cuando,No suele gustarme,No es algo que disfrute,Prefiero soluciones tradicionales,Algunas veces,Solo en algunas ocasiones,Me cuesta trabajo,Depende de la actividad,Solo cuando es necesario,Prefiero evitar riesgos,No está en mis planes,Solo cuando es necesario,Depende de la situación,Casi nunca
26/7/2026 17:38:19,Hombre,No me identifica,"Sí, lo prefiero",Me interesa un poco,Algunas veces,Poco o nada,No suele gustarme,No es algo que disfrute,Prefiero soluciones tradicionales,Poco o nada,Solo en algunas ocasiones,Me cuesta trabajo,Depende de la actividad,Prefiero no liderar,Prefiero evitar riesgos,No está en mis planes,Solo cuando es necesario,Depende de la situación,Casi nunca
26/7/2026 18:05:43,Mujer,No me identifica,Depende de la situación,No me interesa,Algunas veces,Poco o nada,No suele gustarme,"Sí, es una de mis formas favoritas",Algunas veces,Algunas veces,Siempre que puedo,Depende de la persona,"Sí, definitivamente",Prefiero no liderar,Solo si el riesgo es razonable,"Sí, definitivamente",Solo cuando es necesario,Prefiero tener libertad para decidir,Solo en algunas ocasiones
26/7/2026 18:10:53,Mujer,No me identifica,"Sí, lo prefiero",Me interesa un poco,Algunas veces,De vez en cuando,Solo cuando el tema me interesa,No es algo que disfrute,Algunas veces,Poco o nada,Siempre que puedo,Depende de la persona,"Sí, definitivamente",Solo cuando es necesario,Solo si el riesgo es razonable,No está en mis planes,"Sí, siempre","Sí, me siento más cómodo(a)","Sí, de manera constante"
26/7/2026 18:12:46,Hombre,"Sí, me identifica mucho","Sí, lo prefiero",Me interesa mucho,Siempre,De vez en cuando,No suele gustarme,No es algo que disfrute,Prefiero soluciones tradicionales,Mucho,Solo en algunas ocasiones,Me cuesta trabajo,Depende de la actividad,"Sí, disfruto liderar","Sí, sin problema","Sí, definitivamente",Solo cuando es necesario,Depende de la situación,Casi nunca
27/7/2026 8:50:21,Hombre,A veces me identifica,"Sí, lo prefiero",Me interesa mucho,Algunas veces,Mucho,"Sí, frecuentemente",En algunas ocasiones,Casi siempre,Mucho,Siempre que puedo,"Sí, con facilidad","Sí, definitivamente","Sí, disfruto liderar","Sí, sin problema","Sí, definitivamente","Sí, siempre",Depende de la situación,Solo en algunas ocasiones
27/7/2026 9:04:48,Hombre,"Sí, me identifica mucho",Depende de la situación,No me interesa,Siempre,De vez en cuando,No suele gustarme,"Sí, es una de mis formas favoritas",Algunas veces,Poco o nada,Prefiero no involucrarme,Depende de la persona,"Sí, definitivamente",Solo cuando es necesario,"Sí, sin problema",No está en mis planes,Solo cuando es necesario,Prefiero tener libertad para decidir,"Sí, de manera constante"
27/7/2026 9:05:40,Mujer,No me identifica,Depende de la situación,Me interesa mucho,Algunas veces,Poco o nada,No suele gustarme,"Sí, es una de mis formas favoritas",Casi siempre,Algunas veces,Solo en algunas ocasiones,Me cuesta trabajo,"Sí, definitivamente","Sí, disfruto liderar",Prefiero evitar riesgos,Tal vez,Solo cuando es necesario,Prefiero tener libertad para decidir,"Sí, de manera constante"
27/7/2026 9:47:07,Mujer,"Sí, me identifica mucho","Sí, lo prefiero",Me interesa un poco,Siempre,Mucho,"Sí, frecuentemente","Sí, es una de mis formas favoritas",Casi siempre,Mucho,Siempre que puedo,"Sí, con facilidad","Sí, definitivamente",Solo cuando es necesario,"Sí, sin problema","Sí, definitivamente","Sí, siempre","Sí, me siento más cómodo(a)","Sí, de manera constante"
